Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,company
Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,26.6,998,5,1.75,Maruti
Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19.67,1582,5,12.5,Hyundai
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,5,4.5,Honda
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,7,6,Maruti
Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,5,17.74,Audi
Hyundai EON LPG,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,5,2.35,Hyundai
Nissan Micra Diesel,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,5,3.5,Nissan
Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,8,17.5,Toyota
Volkswagen Vento Diesel,Pune,2013,64430,Diesel,Manual,First,20.54,1598,5,5.2,Volkswagen
Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,5,1.95,Tata
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,5,9.95,Maruti
Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,5,4.49,Honda
Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,5,5.6,Maruti
Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,5,27,Land
Land Rover Freelander,Pune,2012,85000,Diesel,Automatic,Second,0,2179,5,17.5,Land
Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,7,15,Mitsubishi
Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,5,5.4,Honda
Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,5,5.99,Maruti
Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,5,6.34,Renault
Mercedes-Benz New C-Class,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,5,28,Mercedes-Benz
BMW 3 Series,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,5,18.55,BMW
Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,5,8.25,Maruti
Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,5,23.5,Audi
Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,5,1.87,Hyundai
Volkswagen Vento Petrol,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,5,2.85,Volkswagen
Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,5,4.25,Honda
Nissan Micra Diesel,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,5,4.25,Nissan
Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,5,2.75,Maruti
Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,5,9.9,Honda
Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,5,7.75,Renault
Toyota Corolla Altis,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,5,6.75,Toyota
Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,7,12.5,Mahindra
Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,5,11.5,Audi
Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,5,6.98,Volkswagen
Maruti Wagon R,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,5,1.85,Maruti
Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,5,8.63,Maruti
Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,5,4.85,Mahindra
Mercedes-Benz M-Class ML,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,5,28,Mercedes-Benz
Volkswagen Polo Diesel,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,5,5,Volkswagen
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,5,1.25,Maruti
Tata Nano LX,Kochi,2014,19698,Petrol,Manual,First,25.4,624,4,1.53,Tata
Mahindra KUV 100,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,6,5.58,Mahindra
Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,5,4.74,Hyundai
Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,5,8.85,Hyundai
Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,5,10.11,Toyota
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,5,4.25,Hyundai
Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,7,10.95,Toyota
Hyundai Xcent 1.1,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,5,3.85,Hyundai
Mahindra Thar CRDe,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,6,5.5,Mahindra
Audi A4 2.0,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,5,21.43,Audi
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,5,4.25,Maruti
Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,5,3.3,Maruti
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,5,3.85,Maruti
Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,5,3.6,Hyundai
Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,5,3.99,Volkswagen
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,5,3.3,Renault
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,5,2.07,Hyundai
Nissan X-Trail SLX,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,5,7.75,Nissan
Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,5,2.25,Maruti
Toyota Innova Crysta,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,8,16.5,Toyota
Ford Figo Diesel,Bangalore,2010,72000,Diesel,Manual,First,20,1399,5,2.75,Ford
Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,5,26.7,Mercedes-Benz
Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,5,10,Mercedes-Benz
Tata Indica V2,Chennai,2016,178000,Diesel,Manual,First,25,1396,5,2.5,Tata
Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,5,13.5,Audi
Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,5,1.85,Honda
Mercedes-Benz C-Class Progressive,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,5,35.67,Mercedes-Benz
Maruti Ertiga SHVS,Pune,2016,63000,Diesel,Manual,First,24.52,1248,7,8.15,Maruti
Hyundai Creta 1.4,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,5,10.5,Hyundai
Porsche Cayenne 2009-2014,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,5,14.5,Porsche
Mahindra XUV500 W8,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,7,9.65,Mahindra
Hyundai i10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,5,3.48,Hyundai
Nissan Terrano XV,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,5,6.92,Nissan
Honda Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,5,6.46,Honda
Audi A6 2.0,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,5,29.5,Audi
Ford Fiesta 1.4,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,5,2,Ford
Toyota Innova 2.0,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,8,4.5,Toyota
Toyota Innova 2.5,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,7,11.75,Toyota
Hyundai Santro Xing,Hyderabad,2005,87591,Petrol,Manual,First,0,1086,5,1.3,Hyundai
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,5,3.75,Maruti
Tata Zest Revotron,Pune,2017,70000,Petrol,Manual,First,17.57,1193,5,4.5,Tata
Honda Amaze SX,Kochi,2016,54944,Petrol,Manual,First,18,1198,5,4.82,Honda
Ford Figo Diesel,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,5,2.8,Ford
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,5,3.11,Maruti
Honda City i,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,5,3.25,Honda
BMW 5 Series,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,5,13.9,BMW
Hyundai i10 Sportz,Pune,2009,95980,Petrol,Manual,First,20.36,1197,5,2.25,Hyundai
Hyundai Grand i10,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,5,5.75,Hyundai
Hyundai Santro Xing,Hyderabad,2007,73745,Petrol,Manual,First,17,1086,5,2.1,Hyundai
Honda Amaze SX,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,5,5,Honda
Toyota Fortuner 4x2,Delhi,2014,107000,Diesel,Manual,First,13,2982,7,16.5,Toyota
Audi A6 2011-2015,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,5,39.58,Audi
Ford Ecosport 1.5,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,5,5.5,Ford
Mahindra XUV500 W8,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,7,8.1,Mahindra
Honda Amaze SX,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,5,3.5,Honda
Volkswagen Polo Diesel,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,5,2.79,Volkswagen
Hyundai Verna Transform,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,5,3.45,Hyundai
Maruti Wagon R,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,5,4.45,Maruti
Volkswagen Polo Petrol,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,5,2.65,Volkswagen
Hyundai i20 1.4,Pune,2011,78958,Diesel,Manual,Second,23,1396,5,3.8,Hyundai
Hyundai i20 Asta,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,5,4.65,Hyundai
Datsun GO Plus,Pune,2017,32851,Petrol,Manual,First,19.83,1198,7,3.95,Datsun
Audi A4 3.0,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,5,9.8,Audi
Hyundai i20 2015-2017,Pune,2009,66000,Petrol,Manual,Second,17,1197,5,2.7,Hyundai
Maruti Omni 5,Coimbatore,2010,93850,Petrol,Manual,First,14,796,5,2.41,Maruti
Toyota Etios Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,5,3.9,Toyota
Jaguar XF 3.0,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,5,24,Jaguar
Mahindra XUV500 W8,Delhi,2012,65000,Diesel,Manual,Second,16,2179,7,5.75,Mahindra
Hyundai Verna 1.6,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,5,5.25,Hyundai
Toyota Innova Crysta,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,7,19.25,Toyota
Maruti Eeco 5,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,5,3.91,Maruti
Tata Nano Twist,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,4,2.15,Tata
BMW 3 Series,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,5,20.75,BMW
Honda Civic 2006-2010,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,5,3.35,Honda
Toyota Innova 2.5,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,7,11.11,Toyota
Volvo V40 Cross,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,5,20,Volvo
Nissan Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,5,6.55,Nissan
BMW 5 Series,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,5,7,BMW
Maruti Vitara Brezza,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,5,7.5,Maruti
Hyundai Santro Xing,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,5,0.85,Hyundai
Mercedes-Benz B Class,Pune,2014,53753,Diesel,Automatic,Second,15,2143,5,16.75,Mercedes-Benz
Hyundai Verna CRDi,Kolkata,2018,10250,Diesel,Manual,First,22,1582,5,10.95,Hyundai
Maruti Wagon R,Pune,2011,43874,Petrol,Manual,First,18.9,998,5,2.45,Maruti
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,4,3.23,Tata
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,8,7.75,Mahindra
Mercedes-Benz New C-Class,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,5,9.35,Mercedes-Benz
Maruti Wagon R,Pune,2013,89900,CNG,Manual,First,26.6,998,5,3.25,Maruti
Honda CR-V 2.4,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,5,5.25,Honda
Volkswagen Vento 1.5,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,5,7.25,Volkswagen
Maruti Ciaz VXi,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,5,7.47,Maruti
Mahindra XUV500 AT,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,7,13.25,Mahindra
Maruti Ritz VXI,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,5,5.81,Maruti
Maruti Alto K10,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,5,2.6,Maruti
Mercedes-Benz SLC 43,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,2,54,Mercedes-Benz
Hyundai Verna VTVT,Kochi,2019,12645,Petrol,Automatic,First,17,1591,5,11.5,Hyundai
Maruti Alto LXi,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,5,1.6,Maruti
BMW 1 Series,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,5,17.22,BMW
Honda Jazz 1.2,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,5,6,Honda
Honda Civic 2006-2010,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,5,3.95,Honda
Mercedes-Benz New C-Class,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,5,17.95,Mercedes-Benz
Honda Amaze SX,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,5,3.7,Honda
Maruti Swift VVT,Kochi,2016,34204,Petrol,Manual,First,22,1197,5,5.43,Maruti
Hyundai Santro Xing,Kochi,2008,80759,Petrol,Manual,Third,17,1086,5,1.67,Hyundai
Toyota Fortuner 3.0,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,7,13.49,Toyota
Chevrolet Beat LT,Pune,2014,38800,Petrol,Manual,First,18.6,1199,5,2.85,Chevrolet
Skoda Rapid 1.5,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,5,4.75,Skoda
Maruti Ciaz 1.4,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,5,9.9,Maruti
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,4,37,Audi
BMW 3 Series,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,5,26.5,BMW
Audi A4 2.0,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,5,23.32,Audi
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,5,6.25,Maruti
Mercedes-Benz S Class,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,5,30,Mercedes-Benz
Skoda Rapid 1.5,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,5,9.86,Skoda
Skoda Superb Elegance,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,5,8.5,Skoda
Hyundai EON Magna,Kochi,2019,14322,Petrol,Manual,First,21.1,814,5,4.23,Hyundai
Volkswagen Polo Diesel,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,5,3.5,Volkswagen
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,5,2.5,Datsun
Honda Brio S,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,5,2.39,Honda
Mercedes-Benz B Class,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,5,11.25,Mercedes-Benz
Honda City i,Kochi,2015,42831,Diesel,Manual,First,26,1498,5,7.11,Honda
Toyota Innova 2.5,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,7,10.9,Toyota
Maruti Swift VXI,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,5,6.2,Maruti
Mahindra XUV500 W8,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,7,7.9,Mahindra
Ford Ecosport 1.5,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,5,4.42,Ford
Toyota Fortuner 4x2,Mumbai,2012,131765,Diesel,Manual,First,13,2982,7,13.5,Toyota
Volkswagen Vento 1.5,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,5,6.25,Volkswagen
Ford Figo Diesel,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,5,2.1,Ford
BMW X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,5,45,BMW
Mercedes-Benz New C-Class,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,5,33.66,Mercedes-Benz
Honda Brio V,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,5,3.65,Honda
Hyundai i10 Magna,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,5,2.75,Hyundai
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,5,42.5,Mercedes-Benz
Hyundai Grand i10,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,5,6.5,Hyundai
Audi A6 2011-2015,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,5,19,Audi
Volkswagen Vento Petrol,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,5,4.45,Volkswagen
Mini Countryman Cooper,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,5,23,Mini
Hyundai i20 Asta,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,5,8.35,Hyundai
Audi A6 2011-2015,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,5,22.95,Audi
Chevrolet Beat Diesel,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,5,1.5,Chevrolet
Skoda Superb Elegance,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,5,6.89,Skoda
Ford Fiesta 1.4,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,5,1.45,Ford
BMW 5 Series,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,5,33.5,BMW
Chevrolet Optra Magnum,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,5,1.25,Chevrolet
Volkswagen Polo Diesel,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,5,4.2,Volkswagen
Renault Lodgy 110PS,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,8,6.75,Renault
Mercedes-Benz E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,13,2143,5,32,Mercedes-Benz
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,5,7.5,Maruti
Hyundai Verna 1.6,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,5,4.6,Hyundai
Hyundai i10 Magna,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,5,4.04,Hyundai
Mahindra Scorpio 1.99,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,7,10.31,Mahindra
Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,5,55.76,Land
Ford Figo Diesel,Chennai,2010,120000,Diesel,Manual,First,20,1399,5,2.6,Ford
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,7,8.5,Maruti
Honda Amaze S,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,5,3.5,Honda
Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,5,3.55,Hyundai
Honda Amaze S,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,5,3.25,Honda
Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,5,4.5,Skoda
Renault Duster 85PS,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,5,5.35,Renault
Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,7,6.5,Mahindra
Maruti Vitara Brezza,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,5,9,Maruti
Hyundai i20 Asta,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,5,6,Hyundai
Skoda Fabia 1.4,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,5,2.75,Skoda
Tata Indigo eCS,Pune,2010,70500,Petrol,Manual,First,15.64,1193,5,1.5,Tata
Audi Q3 2012-2015,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,5,19.9,Audi
Skoda Octavia Elegance,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,5,10,Skoda
Toyota Etios Liva,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,5,3,Toyota
Mercedes-Benz B Class,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,5,11.96,Mercedes-Benz
Honda Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,5,3.25,Honda
Hyundai Verna 1.6,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,5,4.75,Hyundai
Renault Duster 85PS,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,5,5.95,Renault
Hyundai Creta 1.6,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,5,8.15,Hyundai
Maruti Wagon R,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,5,4.22,Maruti
Mercedes-Benz New C-Class,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,5,10.5,Mercedes-Benz
Audi A8 L,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,5,45,Audi
Hyundai i10 Magna,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,5,2.9,Hyundai
Skoda Rapid 1.6,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,5,8.9,Skoda
Skoda Superb Style,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,5,26,Skoda
Hyundai i20 Active,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,5,8.22,Hyundai
Honda Amaze VX,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,5,3.5,Honda
Maruti Wagon R,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,5,1.25,Maruti
Mahindra Verito 1.5,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,5,3.7,Mahindra
Mercedes-Benz New C-Class,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,5,39.41,Mercedes-Benz
Maruti Wagon R,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,5,2.65,Maruti
Nissan Terrano XV,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,5,8.92,Nissan
Maruti Swift VDI,Delhi,2013,47000,Diesel,Manual,First,17.8,1248,5,4.1,Maruti
Mini Cooper Convertible,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,4,35.67,Mini
Tata Indica V2,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,5,0.85,Tata
Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,5,3.32,Chevrolet
Volkswagen Polo Diesel,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,5,3.6,Volkswagen
